content,source,rating,date,sentiment_label,sentiment_score,category,priority_score
good 👍 ho,google_play,5,2026-02-19 14:37:41,positive,0.4404,Other,0.0
good,google_play,5,2026-02-18 14:37:37,positive,0.4404,Other,0.0
Nice,google_play,5,2026-02-17 14:37:34,positive,0.4215,Other,0.0
my WhatsApp is not good working this automatically log out please fix the problem,google_play,1,2026-02-23 14:37:33,negative,-0.4226,Bug,110.68
it's good to use guys,google_play,2,2026-02-22 14:37:31,positive,0.4404,Other,0.0
good,google_play,4,2026-02-21 14:37:23,positive,0.4404,Other,0.0
mera WhatsApp bhi chalu nahin ho raha hai sir,google_play,5,2026-02-20 14:37:21,neutral,0.0,Other,0.0
good communication,google_play,5,2026-02-19 14:37:19,positive,0.4404,Other,0.0
good app,google_play,5,2026-02-18 14:36:57,positive,0.4404,Other,0.0
its awesome thanks 👍 you,google_play,2,2026-02-17 14:36:55,positive,0.7906,Other,0.0
good,google_play,5,2026-02-23 14:36:52,positive,0.4404,Other,0.0
good,google_play,1,2026-02-22 14:36:34,positive,0.4404,Other,0.0
Good,google_play,2,2026-02-21 14:36:33,positive,0.4404,Other,0.0
WhatsApp is the best,google_play,5,2026-02-20 14:36:22,positive,0.6369,Other,0.0
good,google_play,5,2026-02-19 14:36:22,positive,0.4404,Other,0.0
kudoz to u guy's,google_play,5,2026-02-18 14:36:16,neutral,0.0,Other,0.0
"WhatsApp is a fast, reliable messaging app that makes staying connected effortless. End-to-end encryption ensures privacy, while features like voice notes, video calls, group chats, and file sharing make it versatile for both personal and professional use. Its simple interface and low data usage make it accessible for everyone.",google_play,5,2026-02-17 14:36:11,positive,0.4939,Feature Request,0.0
Ok 👍,google_play,5,2026-02-23 14:36:09,positive,0.296,Other,0.0
nicevery good,google_play,1,2026-02-22 14:36:05,positive,0.4404,Other,0.0
nice app,google_play,5,2026-02-21 14:35:51,positive,0.4215,Other,0.0
best,google_play,5,2026-02-20 14:35:41,positive,0.6369,Other,0.0
better,google_play,5,2026-02-19 14:35:22,positive,0.4404,Other,0.0
খুব ভালো,google_play,5,2026-02-18 14:35:11,neutral,0.0,Other,0.0
